sample_id	chrom	start	end	cn_a	cn_b
diploid	chr1	0	1	1	1
diploid	chr1	1	2	1	1
diploid	chr1	2	3	1	1
diploid	chr1	3	4	1	1
diploid	chr1	4	5	1	1
diploid	chr1	5	6	1	1
diploid	chr1	6	7	1	1
diploid	chr1	7	8	1	1
diploid	chr1	8	9	1	1
diploid	chr1	9	10	1	1
diploid	chr2	0	1	1	1
diploid	chr2	1	2	1	1
diploid	chr2	2	3	1	1
diploid	chr2	3	4	1	1
diploid	chr2	4	5	1	1
diploid	chr2	5	6	1	1
diploid	chr2	6	7	1	1
diploid	chr2	7	8	1	1
diploid	chr2	8	9	1	1
diploid	chr2	9	10	1	1
diploid	chr3	0	1	1	1
diploid	chr3	1	2	1	1
diploid	chr3	2	3	1	1
diploid	chr3	3	4	1	1
diploid	chr3	4	5	1	1
diploid	chr3	5	6	1	1
diploid	chr3	6	7	1	1
diploid	chr3	7	8	1	1
diploid	chr3	8	9	1	1
diploid	chr3	9	10	1	1
diploid	chr4	0	1	1	1
diploid	chr4	1	2	1	1
diploid	chr4	2	3	1	1
diploid	chr4	3	4	1	1
diploid	chr4	4	5	1	1
diploid	chr4	5	6	1	1
diploid	chr4	6	7	1	1
diploid	chr4	7	8	1	1
diploid	chr4	8	9	1	1
diploid	chr4	9	10	1	1
internal1	chr1	0	1	0	0
internal1	chr1	1	2	0	0
internal1	chr1	2	3	0	0
internal1	chr1	3	4	0	0
internal1	chr1	4	5	0	0
internal1	chr1	5	6	0	0
internal1	chr1	6	7	0	0
internal1	chr1	7	8	0	0
internal1	chr1	8	9	0	0
internal1	chr1	9	10	0	0
internal1	chr2	0	1	0	0
internal1	chr2	1	2	0	0
internal1	chr2	2	3	0	0
internal1	chr2	3	4	0	0
internal1	chr2	4	5	0	0
internal1	chr2	5	6	0	0
internal1	chr2	6	7	0	0
internal1	chr2	7	8	0	0
internal1	chr2	8	9	0	0
internal1	chr2	9	10	0	0
internal1	chr3	0	1	0	0
internal1	chr3	1	2	0	0
internal1	chr3	2	3	0	0
internal1	chr3	3	4	0	0
internal1	chr3	4	5	0	0
internal1	chr3	5	6	0	0
internal1	chr3	6	7	0	0
internal1	chr3	7	8	0	0
internal1	chr3	8	9	0	0
internal1	chr3	9	10	0	0
internal1	chr4	0	1	0	0
internal1	chr4	1	2	0	0
internal1	chr4	2	3	0	0
internal1	chr4	3	4	0	0
internal1	chr4	4	5	0	0
internal1	chr4	5	6	1	0
internal1	chr4	6	7	0	0
internal1	chr4	7	8	0	0
internal1	chr4	8	9	0	0
internal1	chr4	9	10	0	0
internal10	chr1	0	1	0	0
internal10	chr1	1	2	0	0
internal10	chr1	2	3	0	0
internal10	chr1	3	4	0	0
internal10	chr1	4	5	0	0
internal10	chr1	5	6	0	0
internal10	chr1	6	7	0	0
internal10	chr1	7	8	0	0
internal10	chr1	8	9	0	0
internal10	chr1	9	10	0	0
internal10	chr2	0	1	0	0
internal10	chr2	1	2	0	0
internal10	chr2	2	3	0	0
internal10	chr2	3	4	0	0
internal10	chr2	4	5	0	0
internal10	chr2	5	6	0	0
internal10	chr2	6	7	0	0
internal10	chr2	7	8	0	0
internal10	chr2	8	9	0	0
internal10	chr2	9	10	0	0
internal10	chr3	0	1	0	0
internal10	chr3	1	2	0	0
internal10	chr3	2	3	0	0
internal10	chr3	3	4	0	0
internal10	chr3	4	5	0	0
internal10	chr3	5	6	0	0
internal10	chr3	6	7	0	0
internal10	chr3	7	8	0	0
internal10	chr3	8	9	0	0
internal10	chr3	9	10	0	0
internal10	chr4	0	1	0	0
internal10	chr4	1	2	0	0
internal10	chr4	2	3	0	0
internal10	chr4	3	4	0	0
internal10	chr4	4	5	0	0
internal10	chr4	5	6	1	0
internal10	chr4	6	7	0	0
internal10	chr4	7	8	0	0
internal10	chr4	8	9	0	0
internal10	chr4	9	10	0	0
internal11	chr1	0	1	0	0
internal11	chr1	1	2	0	0
internal11	chr1	2	3	0	0
internal11	chr1	3	4	0	0
internal11	chr1	4	5	0	0
internal11	chr1	5	6	0	0
internal11	chr1	6	7	0	0
internal11	chr1	7	8	0	0
internal11	chr1	8	9	0	0
internal11	chr1	9	10	0	0
internal11	chr2	0	1	0	0
internal11	chr2	1	2	0	0
internal11	chr2	2	3	0	0
internal11	chr2	3	4	0	0
internal11	chr2	4	5	0	0
internal11	chr2	5	6	0	0
internal11	chr2	6	7	0	0
internal11	chr2	7	8	0	0
internal11	chr2	8	9	0	0
internal11	chr2	9	10	0	0
internal11	chr3	0	1	0	0
